id	priority	createdTime	startedTime	terminatedTime	cpuTime	blockedTime	turnaroundTime	waitingTime	responseTime
1	0	0	0	152	77	75	152	0	0
3	0	259	324	362	30	8	103	65	65
2	0	245	245	456	97	114	211	0	0
4	0	720	720	816	42	54	96	0	0
5	0	845	845	879	34	0	34	0	0
6	0	866	879	949	38	32	83	13	13
7	0	877	880	1076	112	60	199	27	3
8	0	1017	1076	1091	15	0	74	59	59
9	0	1123	1123	1204	60	21	81	0	0
10	0	1207	1207	1386	87	92	179	0	0
0	0	0	0	1386	794	0	1386	592	0
