id	priority	createdTime	startedTime	terminatedTime	cpuTime	blockedTime	turnaroundTime	waitingTime	responseTime
1	0	0	0	2	2	0	2	0	0
2	0	153	153	155	2	0	2	0	0
3	0	163	163	188	25	0	25	0	0
4	0	249	249	434	80	54	185	51	0
6	0	276	298	448	52	42	172	78	22
7	0	369	385	507	65	39	138	34	16
5	0	255	269	629	51	201	374	122	14
9	0	508	527	967	219	90	459	150	19
10	0	930	967	1366	208	88	436	140	37
8	0	446	468	1491	416	308	1045	321	22
0	0	0	0	1491	371	0	1491	1120	0
