id	priority	createdTime	startedTime	terminatedTime	cpuTime	blockedTime	turnaroundTime	waitingTime	responseTime
5	0	283	368	435	67	0	152	85	85
8	0	341	484	513	29	0	172	143	143
3	0	87	312	526	58	4	439	377	225
1	0	0	0	550	151	38	550	361	0
6	0	290	435	712	76	16	422	330	145
2	0	82	154	771	194	58	689	437	72
9	0	377	550	879	119	11	502	372	173
4	0	241	360	888	83	28	647	536	119
7	0	294	437	1108	221	31	814	562	143
10	0	405	627	1206	171	46	801	584	222
0	0	0	0	1206	37	0	1206	1169	0
