id	priority	createdTime	startedTime	terminatedTime	cpuTime	blockedTime	turnaroundTime	waitingTime	responseTime
4	0	0	23	44	21	0	44	23	23
6	0	0	58	66	8	0	66	58	58
8	0	0	82	103	21	0	103	82	82
9	0	0	103	104	1	0	104	103	103
3	0	0	14	197	38	19	197	140	14
7	0	0	66	237	21	30	237	186	66
1	0	0	0	360	52	108	360	200	0
10	0	0	104	375	136	8	375	231	104
2	0	0	4	417	81	78	417	258	4
5	0	0	44	469	79	58	469	332	44
0	0	0	0	469	11	0	469	458	0
