id	priority	createdTime	startedTime	terminatedTime	cpuTime	blockedTime	turnaroundTime	waitingTime	responseTime
1	0	0	0	10	8	2	10	0	0
2	1	148	148	168	17	3	20	0	0
5	0	480	480	496	8	1	16	7	0
3	4	181	181	537	137	191	356	28	0
4	2	474	474	627	89	64	153	0	0
6	0	640	640	646	5	1	6	0	0
7	0	955	955	983	14	14	28	0	0
9	0	1309	1309	1341	12	19	32	1	0
10	0	1329	1329	1398	22	46	69	1	0
8	2	1040	1040	1417	173	185	377	19	0
0	0	0	0	1417	932	0	1417	485	0
