id	priority	createdTime	startedTime	terminatedTime	cpuTime	blockedTime	turnaroundTime	waitingTime	responseTime
8	0	0	105	120	15	0	120	105	105
5	0	0	64	172	34	0	172	138	64
3	0	0	40	303	30	8	303	265	40
6	0	0	84	353	38	32	353	283	84
4	0	0	60	437	42	54	437	341	60
9	0	0	120	458	60	21	458	377	120
1	0	0	0	573	77	75	573	421	0
7	0	0	85	579	112	60	579	407	85
10	0	0	126	588	87	92	588	409	126
2	0	0	20	596	97	114	596	385	20
0	0	0	0	596	4	0	596	592	0
